"Site","JanQ","FebQ","MarQ","AprQ","MayQ","JunQ","JulQ","AugQ","SeptQ","OctQ","NovQ","DecQ"
"lg80","4185.0","3810.0","3650.0","4530.0","2925.0","1360.0","1135.0"," 607.5"," 532.0","1040.0","3100.0","3385.0"
"lg81","1850.0","1210.0","2085.0","3615.0","3505.0","2335.0","1000.0"," 917.0"," 679.5"," 567.0"," 434.5"," 782.5"
"lg82"," 24.250"," 39.800"," 53.800"," 71.900","170.500","181.000"," 48.150","  6.860","  2.405"," 30.500"," 23.850"," 18.600"
"lg83","2400","3160","3175","7745","6625","5425","2770","2265","2220","2160","2160","2165"
"lg84","5110","7070","3760","5210","4510","2175","1800","1500","1195","1385","2105","2770"
"lg86"," 436.0"," 475.0","1840.0","3665.0","2045.0"," 888.0"," 440.5"," 366.5"," 342.5"," 377.5"," 375.0"," 414.0"
"lg87"," 15.70"," 32.60"," 62.30","103.00","123.50"," 35.40"," 19.05"," 13.75"," 20.55"," 37.65"," 27.85"," 18.45"
"lg88","487.5","386.0","416.0","354.0","296.0","233.0","160.5","169.0","183.0","362.5","306.5","547.0"
"lg89","1430","1350","1660","2000","1855","1455","1235","1180","1205","1375","1505","1370"
"lg91","3610","3620","3425","6015","4790","1800","1300","1605","1190","1465","1845","2515"
"lg92"," 404.5"," 457.0","5225.0","4065.0","3910.0"," 857.5"," 279.5"," 273.5"," 226.5"," 417.0"," 323.0"," 362.5"
"lg93","2605.0","2460.0","2695.0","2640.0","2950.0","1860.0","1320.0"," 746.5"," 470.0"," 780.0","1465.0","1240.0"
"lg94","2350","2890","5210","7610","5010","4100","3940","3460","2095","1915","1980","2380"
"lg95","4075","4160","4005","6895","5395","2065","1425","1770","1225","1500","1900","2760"
"lg96","2420","2130","2410","3480","2945","2870","1765","2080","1600","1475","1595","1905"
"lg97","3195","4190","5655","4850","3755","3190","2400","2275","1555","1355","1600","2070"
"lg98"," 41.40"," 48.50"," 65.50","120.05","113.45"," 69.30"," 65.60"," 57.30"," 33.20"," 37.15"," 43.30"," 38.35"
"lg99","7935","5610","2865","5795","4330","1670","1540","1580","1895","3390","7425","5690"
"lg100","1450","1460","1640","1745","2735","3195","1865","1555","1450","1490","1545","1470"
"lg101","5090.0","5050.0","2990.0","4995.0","3135.0","2925.0","1750.0"," 973.0","1245.0"," 993.5","2640.0","2660.0"
"lg102"," 587.5"," 581.0"," 758.5","3290.0","6990.0","4735.0","1370.0"," 727.5"," 654.5"," 648.0"," 734.5"," 623.5"
"lg103","3330.0","2430.0","3390.0","4070.0","4520.0","2190.0"," 895.5"," 333.0"," 119.0"," 260.0"," 643.5"," 996.5"
"lg104","2595","2430","3035","3780","3385","2315","1465","1270","1310","1730","2275","2040"
"lg105","2870"," 768","1310","1550","2000","1135"," 956","1055","1085"," 784"," 917","1245"
"lg106","3855.0","3580.0","4015.0","4145.0","4405.0","2960.0","1890.0","1145.0"," 695.0"," 986.5","1855.0","1640.0"
"lg107","2730","2440","3015","3470","3310","2800","1640","2060","1520","1460","1590","1985"
"lg108","5425.0","4620.0","3930.0","5830.0","3465.0","1440.0","1325.0"," 928.0"," 701.5","1400.0","3475.0","3460.0"
"lg109","2890.0"," 847.0","1555.0","1825.0","2290.0","1285.0","1045.0","1160.0","1280.0"," 893.5"," 956.0","1520.0"
"lg111","  914.5","  902.0"," 1095.0"," 1855.0"," 8730.0","13800.0"," 6675.0"," 3045.0"," 1900.0"," 1570.0"," 1390.0"," 1100.0"
"lg112","1050.0","1050.0","1075.0"," 933.0"," 616.0"," 604.5"," 541.0"," 537.0"," 536.5"," 906.5"," 958.5","1020.0"
"lg113"," 64.15","113.00","162.50","231.50","542.50","716.50","169.00"," 85.70"," 85.55"," 69.70"," 81.15"," 62.05"
"lg114","4165","4850","4000","4500","4065","3215","2375","2145","1690","1320","2020","2535"
"lg115","4165","3010","2515","2285","1910","1365","1125","1080","1880","1620","1610","2440"
"lg116"," 48.10"," 61.20"," 97.95","961.50","495.00","592.50","555.00","404.00","401.50","431.00","299.50"," 86.15"
"lg117"," 648.0"," 690.0"," 975.5","1660.0","1165.0"," 667.5"," 536.5"," 506.0"," 525.5"," 557.0"," 578.0"," 604.0"
"lg119"," 36.30"," 47.90"," 33.65"," 76.70","126.50"," 77.60"," 63.10"," 58.45"," 81.00"," 93.50"," 57.40"," 40.20"
"lg120","360.5","387.0","390.5","483.5","515.5","661.5","810.5","864.0","760.5","505.0","361.0","384.0"
"lg121"," 66.45"," 64.90"," 83.65"," 97.90","158.50","240.00","147.50"," 75.65"," 49.30"," 50.75"," 51.35"," 48.85"
"lg122","1445.0","1350.0","1975.0","6700.0","4550.0","2570.0","1835.0"," 996.5","1715.0","4370.0","2065.0","1600.0"
"lg124","13850","10100","10100","13000"," 9460"," 7530"," 4760"," 5265"," 5305"," 4830"," 6505"," 7940"
"lg125","5040","5580","5595","5785","7565","5675","3130","2445","2305","3465","4420","4000"
"lg126","215.50","243.00","297.50","302.00","141.50","715.00"," 85.45"," 85.70"," 80.60","200.00","247.50","168.00"
"lg127"," 437.5"," 413.0"," 542.5","1965.0","1590.0","1550.0","1080.0","1075.0","1025.0"," 854.0"," 887.5"," 568.0"
"lg128","3100","3460","4160","9545","7635","5145","3430","2840","3760","4925","3730","3355"
"lg129","7020","4760","6915","6625","4180","3515","2040","2280","2005","1940","2565","3410"
"lg131"," 154.0"," 281.0"," 298.5","1490.0"," 656.0"," 597.5"," 757.5"," 408.5"," 390.5"," 462.0"," 368.0"," 204.0"
"lg133","13700","18500","11150","13500","11400"," 5010"," 3050"," 2680"," 1650"," 2485"," 4500","11050"
"lg134","1310","1300","1310","1435","1340","1260","1240","1280","1320","1360","1330","1315"
